"","Line","UWC","Region","State","Segment","FirstQuoteYear","FirstEffYear","mnln_cd","coast_ind","earlyshop_mth_bkt","SPRNKL_IND_bkt","SUM_BLD_SQFTAGE_bkt","LOC_BLD_AGE_bkt","bld_ind"
"24566","CMP","DENVER","WESTERN","WA","GARAGE","2016","2016","MULTI","N","a.0","b.N","b.<1800","d.<70","0"
"24567","CMP","CHARLOTTE","SOUTHERN","TN","OFFICE","2017","2017","MPAC","N","c.2","b.N","b.<1800","b.<25","0"
"24568","CMP","HUNT VALLEY","MID-ATLANTIC","WV","CONTRACTORS","2017","2017","MULTI","N","b.1","b.N","b.<1800","b.<15","0"
"24571","CMP","NAPERVILLE","CENTRAL","IL","BUILDING","2016","2016","MPAC","N","b.1","b.N","d.<11300","b.<15","1"
"24572","CMP","DALLAS","SOUTH CENTRAL","TX","CONTRACTORS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<15","0"
"24573","CMP","HUNT VALLEY","MID-ATLANTIC","PA","BUSINESS","2017","2017","MULTI","N","b.1","b.N","b.<1800","b.<25","0"
"24574","CMP","DALLAS","SOUTH CENTRAL","TX","STORE","2017","2017","MPAC","N","c.2","b.N","b.<1800","b.<15","0"
"24575","CMP","METRO","MID-ATLANTIC","NJ","CONTRACTORS","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"24576","CMP","CHARLOTTE","SOUTHERN","SC","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","c.<4250","c.<40","1"
"24577","CMP","DALLAS","SOUTH CENTRAL","TX","OFFICE","2017","2017","MPAC","Y","c.2","b.N","b.<1800","b.<15","0"
"24578","CMP","DENVER","WESTERN","AZ","APARTMENTS","2017","2017","MPAC","N","b.1","b.N","e.11300+","d.<70","1"
"24579","CMP","ATLANTA","SOUTHERN","GA","CONTRACTORS","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"24580","CMP","HARTFORD","NORTHEAST","NY","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","e.70+","0"
"24581","CMP","DENVER","WESTERN","NV","RESTAURANTS","2017","2017","MPAC","N","a.0","a.Y","b.<1800","b.<25","0"
"24582","CMP","DALLAS","SOUTH CENTRAL","TX","STORE","2017","2017","MPAC","Y","c.2","b.N","b.<1800","b.<15","0"
"24583","CMP","DENVER","WESTERN","WA","STORE","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<25","0"
"24584","CMP","DALLAS","SOUTH CENTRAL","TX","STORE","2017","2017","MPAC","N","c.2","b.N","b.<1800","b.<15","0"
"24585","CMP","HARTFORD","NORTHEAST","NY","STORE","2017","2017","MULTI","N","c.2","b.N","b.<1800","d.<70","0"
"24586","CMP","HARTFORD","NORTHEAST","NY","RESTAURANTS","2017","2017","MPAC","N","b.1","b.N","d.<11300","e.70+","1"
