"","pol_entry_dt","pol_eff_dt"
"881",2017-10-03,2017-12-12
"883",2017-10-03,2017-10-03
"884",2017-10-03,2017-10-03
"885",2017-10-03,2017-10-02
"886",2017-10-03,2017-11-02
"887",2017-10-03,2017-10-03
"889",2017-10-03,2017-12-01
"890",2017-10-03,2017-10-03
"892",2017-10-03,2017-10-03
"893",2017-10-03,2017-10-03
"894",2017-10-03,2017-10-06
"896",2017-10-03,2017-10-03
"897",2017-10-03,2017-11-01
"898",2017-10-03,2017-11-01
"899",2017-10-03,2017-12-13
"900",2017-10-03,2017-10-15
"901",2017-10-03,2017-12-21
"902",2017-10-03,2017-10-11
"903",2017-10-03,2017-10-03
"905",2017-10-03,2017-10-03
"907",2017-10-03,2017-10-03
"909",2017-10-03,2017-10-06
"911",2017-10-03,2017-10-01
"912",2017-10-03,2017-10-03
"913",2017-10-03,2017-11-07
"914",2017-10-03,2017-10-05
"915",2017-10-03,2017-10-25
"916",2017-10-03,2017-10-15
"917",2017-10-03,2017-10-03
"918",2017-10-03,2017-10-01
"919",2017-10-03,2017-10-23
"920",2017-10-03,2017-10-05
"921",2017-10-03,2017-10-03
"922",2017-10-03,2017-10-21
"923",2017-10-03,2017-10-15
"924",2017-10-03,2017-10-06
"925",2017-10-03,2017-10-16
"926",2017-10-03,2017-10-07
"928",2017-10-03,2017-10-22
"929",2017-10-03,2017-10-04
"930",2017-10-03,2017-10-11
"931",2017-10-03,2017-10-05
"932",2017-10-03,2017-10-02
"933",2017-10-03,2017-12-01
"936",2017-10-03,2017-11-19
"937",2017-10-03,2017-10-16
"939",2017-10-03,2017-10-03
"940",2017-10-03,2017-10-15
"943",2017-10-03,2017-10-28
"944",2017-10-03,2017-10-03
"945",2017-10-03,2017-12-10
"946",2017-10-03,2017-12-01
"947",2017-10-03,2017-10-31
"948",2017-10-03,2017-10-07
"949",2017-10-03,2017-10-05
"950",2017-10-03,2017-10-04
"951",2017-10-03,2017-10-05
"952",2017-10-03,2017-11-11
"953",2017-10-03,2017-10-01
"954",2017-10-03,2017-10-03
"955",2017-10-03,2017-11-19
"956",2017-10-03,2018-01-05
"957",2017-10-03,2017-10-10
"958",2017-10-03,2017-10-03
"959",2017-10-03,2017-10-03
"960",2017-10-03,2017-10-03
"961",2017-10-03,2017-10-03
"962",2017-10-03,2017-10-06
"963",2017-10-03,2017-10-03
"964",2017-10-03,2017-10-23
"966",2017-10-03,2017-10-03
"967",2017-10-03,2017-11-01
"968",2017-10-03,2017-12-01
"969",2017-10-03,2017-11-15
"970",2017-10-03,2017-10-03
"974",2017-10-03,2017-11-01
"975",2017-10-03,2017-10-15
"976",2017-10-03,2017-10-03
"977",2017-10-03,2017-11-18
"978",2017-10-03,2017-10-02
"979",2017-10-03,2017-10-06
"981",2017-10-03,2017-10-01
"982",2017-10-03,2018-01-11
"983",2017-10-03,2017-10-03
"984",2017-10-03,2017-10-12
"985",2017-10-03,2017-10-20
"986",2017-10-03,2017-10-05
"990",2017-10-03,2017-10-09
"992",2017-10-03,2017-11-20
"993",2017-10-03,2017-10-03
"994",2017-10-03,2017-10-03
"995",2017-10-03,2017-10-04
"996",2017-10-03,2017-10-20
"999",2017-10-03,2017-12-12
"1000",2017-10-03,2017-11-01
"1001",2017-10-03,2017-10-03
"1002",2017-10-03,2017-10-19
"1003",2017-10-03,2017-10-03
"1004",2017-10-03,2017-10-05
"1005",2017-10-03,2017-10-18
"1006",2017-10-03,2017-10-16
"1007",2017-10-03,2017-10-15
"1008",2017-10-03,2017-11-10
"1009",2017-10-03,2017-11-01
"1011",2017-10-03,2017-10-04
"1012",2017-10-03,2017-10-05
"1013",2017-10-03,2017-10-06
"1014",2017-10-03,2017-10-10
"1016",2017-10-03,2017-10-03
"1017",2017-10-03,2017-10-03
"1018",2017-10-03,2017-10-01
"1019",2017-10-03,2017-11-01
"1020",2017-10-03,2017-11-01
"1021",2017-10-03,2017-10-26
"1022",2017-10-03,2017-10-19
"1023",2017-10-03,2017-10-03
"1024",2017-10-03,2018-01-14
"1025",2017-10-03,2017-10-04
"1028",2017-10-03,2017-10-03
"1029",2017-10-03,2017-11-06
"1030",2017-10-03,2017-10-29
"1031",2017-10-04,2017-10-05
"1033",2017-10-04,2017-10-04
"1035",2017-10-04,2017-10-04
"1036",2017-10-04,2017-10-15
"1037",2017-10-04,2017-10-10
"1038",2017-10-04,2017-10-08
"1040",2017-10-04,2017-10-04
"1041",2017-10-04,2017-10-06
"1042",2017-10-04,2017-10-18
"1044",2017-10-04,2017-10-04
"1045",2017-10-04,2017-10-25
"1049",2017-10-04,2017-10-04
"1051",2017-10-04,2017-10-04
"1052",2017-10-04,2017-10-04
"1054",2017-10-04,2017-10-24
"1055",2017-10-04,2017-11-15
"1056",2017-10-04,2017-10-22
"1058",2017-10-04,2017-11-19
"1060",2017-10-04,2017-12-22
"1063",2017-10-04,2017-10-20
"1064",2017-10-04,2017-10-06
"1066",2017-10-04,2017-10-04
"1067",2017-10-05,2017-09-07
"1068",2017-10-04,2017-10-04
"1069",2017-10-04,2017-10-04
"1070",2017-10-04,2017-10-22
"1071",2017-10-04,2017-10-30
"1072",2017-10-04,2017-10-04
"1073",2017-10-04,2017-11-02
"1074",2017-10-04,2017-11-01
"1076",2017-10-04,2017-10-05
"1078",2017-10-04,2017-11-22
"1081",2017-10-04,2017-10-01
"1082",2017-10-04,2017-10-18
"1083",2017-10-04,2017-10-04
"1084",2017-10-04,2017-10-04
"1085",2017-10-04,2017-11-10
"1086",2017-10-04,2017-10-30
"1087",2017-10-04,2017-10-04
"1088",2017-10-04,2017-10-04
"1089",2017-10-04,2017-10-16
"1090",2017-10-04,2017-10-15
"1091",2017-10-04,2017-10-06
"1092",2017-10-04,2017-10-20
"1093",2017-10-04,2017-10-20
"1094",2017-10-04,2017-10-04
